County,num_accidents
Hamblen,148
Panola,148
Pearl River,147
Greenlee,146
Sandoval,146
Gilpin,145
Newport,144
Shawano,144
Traill,144
Lea,143
Barbour,142
Darke,142
Eastland,140
Emporia,140
Copiah,139
Currituck,137
Geneva,136
Ector,135
Hunt,134
Carson City (City),134
Colonial Heights (City),134
Lynchburg,134
San Miguel,133
Windsor,133
Barry,131
Minnehaha,131
Montezuma,130
King and Queen,130
Columbiana,129
Mahnomen,129
Androscoggin,128
Huntington,128
Ripley,128
Chattooga,127
Caswell,126
Brooks,126
St Martin,126
Independence,126
Torrance,125
Valley,124
Crisp,123
LaGrange,123
Leavenworth,123
Bowie,123
Twin Falls,123
Teton,123
Bureau,122
Kidder,122
Delta,121
Laporte,121
Baca,121
Nye,119
Buffalo,119
Saguache,118
Person,118
St John the Baptist,117
Tate,115
Quay,114
Chemung,114
Kiowa,114
Woodford,113
Judith Basin,112
Emanuel,111
Angelina,111
St Joseph,111
Costilla,110
Mathews,110
Reeves,110
St Marys,110
Swain,110
Natrona,110
Warrick,109
Yell,109
Sioux,108
St. Lawrence,108
Candler,107
Watauga,107
Laurel,107
Ashley,107
Daggett,105
Stewart,103
Chelan,103
Avery,103
Taliaferro,102
La Plata,102
Gulf,102
Tallapoosa,101
Stephens,101
Socorro,100
Chicot,100
Upson,99
Unicoi,99
Webb,98
Moffat,98
Bristol (City),98
Nueces,98
Fountain,98
Rush,98
Chouteau,98
Blaine,97
Hocking,96
Athens,96
Keith,96
Nolan,96
Manassas (City),96
Bienville,95
Lafourche,95
Manitowoc,95
Rio Blanco,95
Huron,94
Piute,94
Bath,94
Roosevelt,94
Bond,93
Wabash,93
Dubois,93
Pecos,93
Meigs,92
Lubbock,92
St. James,92
Toombs,91
Monona,91
Staunton,91
Phillips,90
Jeff Davis,89
Bleckley,89
Hale,89
Pondera,89
Gratiot,88
Navarro,88
Dona Ana,88
Trempealeau,88
Thomas,87
Converse,87
Stone,86
Toole,86
Summers,86
Arenac,85
Tipton,85
Lynchburg (City),85
Ware,85
Staunton (City),85
Winston,85
Hertford,85
Whitman,84
Esmeralda,84
Isabella,83
Mahaska,83
Whiteside,83
Burnet,83
Bent,83
Kosciusko,83
Montcalm,82
Rhea,81
Emmet,81
Terrell,80
Vermillion,80
Winchester,80
Clare,79
Ford,79
Bullock,79
Sagadahoc,78
Eddy,78
Sheridan,78
Bonner,78
Fairfax (City),77
Drew,77
Gooding,77
Musselshell,77
Grand Traverse,76
Bledsoe,76
Dolores,76
Wyandot,75
Idaho,75
Powder River,75
Golden Valley,75
Do�a Ana,74
Dickenson,74
Marquette,74
Ouray,73
Waynesboro (City),73
Colquitt,73
Ashe,73
Colfax,73
Hudspeth,72
Chenango,72
Massac,72
Hopewell,72
Colorado,71
Buena Vista,71
Simpson,71
Conejos,71
Arkansas,71
Gates,70
Pasquotank,70
De Soto,69
Pemiscot,69
Charlottesville (City),69
Waushara,69
Rio Grande,68
Alamosa,68
Sequatchie,68
St. Landry,67
Grady,67
Parke,67
Searcy,67
Tattnall,66
Culberson,66
Van Wert,66
Austin,65
Starke,65
Door,65
Rappahannock,64
Mackinac,64
Coles,63
Rockcastle,63
Cape Girardeau,63
Boise,63
Palo Pinto,62
Overton,62
Lac qui Parle,62
Brazos,61
Tama,61
Saint Joseph,61
Cheboygan,61
Kimball,61
Norfolk City,61
Jennings,61
Roscommon,60
Holt,60
Yazoo,60
Winkler,60
Power,60
Macoupin,59
Wilkinson,59
Hawkins,59
Rio Arriba,59
Burt,58
Oglethorpe,57
Bennington,57
Calumet,57
Yancey,56
Scioto,56
Dare,56
Yalobusha,56
Minidoka,56
Victoria,55
Benzie,55
Baxter,55
Van Zandt,54
Piatt,53
Saint Clair,53
Posey,53
Grainger,53
Archuleta,53
Suffolk City,53
Green,52
De Kalb,52
Claiborne,52
Oconto,52
Owen,52
Wahkiakum,51
Deaf Smith,51
Comanche,51
Screven,51
Nez Perce,51
Wells,51
Wharton,50
Kimble,50
Montrose,50
Des Moines,50
Ste Genevieve,50
Vernon,50
Mccormick,49
Sac,49
Appanoose,49
Aroostook,49
Callahan,49
Fannin,49
Okmulgee,48
Bremer,47
Wilcox,47
Deuel,47
Nicholas,47
Long,46
Chattahoochee,46
Coosa,46
McCracken,46
Freestone,45
Riley,45
Itawamba,45
Wheatland,45
San Jacinto,44
Muscatine,44
Charlton,44
Latah,44
Ogemaw,43
Oxford,43
Wibaux,43
Mecosta,42
Forest,42
Crowley,42
Owyhee,42
Atascosa,41
Cannon,41
Rutland,41
Radford,41
Nacogdoches,41
Pointe Coupee,41
George,41
Petersburg City,41
Falls Church,41
Gonzales,40
Fentress,40
Chaves,40
Lamb,40
New Madrid,40
Wilbarger,40
Desha,40
Jay,40
Langlade,40
Sharp,40
Newaygo,39
Pend Oreille,39
Evans,39
Boyd,39
Titus,39
Rusk,39
Charlevoix,39
Pendleton,39
Hutchinson,39
Saint Charles,38
Randall,38
Mora,38
Gage,38
